IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,WPR,Western Pacific,Country,TON,Tonga,Year,2019,true,Education Level,Secondary or higher,SHLM,,,,,,,EQ_MICS,MICS,,30.52,,,22.04,,42.13,30.52 [22.04 – 42.13],,,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,AFR,Africa,Country,SEN,Senegal,Year,2019,true,Education Level,Secondary or higher,SHLM,,,,,,,EQ_DHS,DHS,,37.06,,,30.24,,45.35,37.06 [30.24 – 45.35],,,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,WPR,Western Pacific,Country,TUV,Tuvalu,Year,2019,true,Education Level,Secondary or higher,SHLM,,,,,,,EQ_MICS,MICS,,40.95,,,26.53,,62.7,40.95 [26.53 – 62.7],,,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,AFR,Africa,Country,RWA,Rwanda,Year,2019,true,Education Level,Primary,PRLM,,,,,,,EQ_DHS,DHS,,47.17,,,41.78,,53.21,47.17 [41.78 – 53.21],,,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,AMR,Americas,Country,PER,Peru,Year,2019,false,Education Level,Secondary or higher,SHLM,,,,,,,EQ_DHS,DHS,,48.3,,,44.37,,52.57,48.3 [44.37 – 52.57],,,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,AFR,Africa,Country,TCD,Chad,Year,2019,true,Education Level,Secondary or higher,SHLM,,,,,,,EQ_MICS,MICS,,49.19,,,36.03,,66.82,49.19 [36.03 – 66.82],,,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,AFR,Africa,Country,RWA,Rwanda,Year,2019,true,Education Level,None,NHLM,,,,,,,EQ_DHS,DHS,,52.45,,,29.94,,90.3,52.45 [29.94 – 90.3],,Attention - Estimate is based on 125-249 cases,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,WPR,Western Pacific,Country,WSM,Samoa,Year,2019,true,Education Level,Secondary or higher,SHLM,,,,,,,EQ_MICS,MICS,,56.1,,,47.44,,66.24,56.1 [47.44 – 66.24],,,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,SEAR,South-East Asia,Country,NPL,Nepal,Year,2019,true,Education Level,Secondary or higher,SHLM,,,,,,,EQ_MICS,MICS,,56.39,,,50.94,,62.38,56.39 [50.94 – 62.38],,,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,AFR,Africa,Country,MWI,Malawi,Year,2019,true,Education Level,Secondary or higher,SHLM,,,,,,,EQ_MICS,MICS,,65.89,,,59.27,,73.18,65.89 [59.27 – 73.18],,,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,AMR,Americas,Country,HND,Honduras,Year,2019,true,Education Level,Secondary or higher,SHLM,,,,,,,EQ_MICS,MICS,,67.67,,,62.42,,73.33,67.67 [62.42 – 73.33],,,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,AMR,Americas,Country,GUY,Guyana,Year,2019,true,Education Level,Secondary or higher,SHLM,,,,,,,EQ_MICS,MICS,,68.91,,,58.84,,80.55,68.91 [58.84 – 80.55],,,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,AFR,Africa,Country,STP,Sao Tome and Principe,Year,2019,true,Education Level,Secondary or higher,SHLM,,,,,,,EQ_MICS,MICS,,71.5,,,58.73,,86.79,71.5 [58.73 – 86.79],,,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,AMR,Americas,Country,DOM,Dominican Republic,Year,2019,true,Education Level,Secondary or higher,SHLM,,,,,,,EQ_MICS,MICS,,76.13,,,70.25,,82.47,76.13 [70.25 – 82.47],,,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,AFR,Africa,Country,SLE,Sierra Leone,Year,2019,true,Education Level,Secondary or higher,SHLM,,,,,,,EQ_DHS,DHS,,78.73,,,72.24,,85.75,78.73 [72.24 – 85.75],,,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,AFR,Africa,Country,SEN,Senegal,Year,2019,true,Education Level,Primary,PRLM,,,,,,,EQ_DHS,DHS,,78.98,,,64.67,,96.12,78.98 [64.67 – 96.12],,,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,SEAR,South-East Asia,Country,BGD,Bangladesh,Year,2019,true,Education Level,Secondary or higher,SHLM,,,,,,,EQ_MICS,MICS,,80.48,,,77.77,,83.28,80.48 [77.77 – 83.28],,,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,AFR,Africa,Country,ETH,Ethiopia,Year,2019,true,Education Level,Primary,PRLM,,,,,,,EQ_DHS,DHS,,85.59,,,73.18,,99.89,85.59 [73.18 – 99.89],,,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,AFR,Africa,Country,LBR,Liberia,Year,2019,true,Education Level,Secondary or higher,SHLM,,,,,,,EQ_DHS,DHS,,96.5,,,85.05,,109.3,96.5 [85.05 – 109.3],,,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,AFR,Africa,Country,ZWE,Zimbabwe,Year,2019,true,Education Level,Secondary or higher,SHLM,,,,,,,EQ_MICS,MICS,,97.14,,,89.5,,105.4,97.14 [89.5 – 105.4],,,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,AMR,Americas,Country,ARG,Argentina,Year,2019,true,Education Level,None,NHLM,,,,,,,EQ_MICS,MICS,,,,,,,,No data,827,Not available,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,AMR,Americas,Country,ARG,Argentina,Year,2019,true,Education Level,Primary,PRLM,,,,,,,EQ_MICS,MICS,,,,,,,,No data,827,Not available,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,AMR,Americas,Country,ARG,Argentina,Year,2019,true,Education Level,Secondary or higher,SHLM,,,,,,,EQ_MICS,MICS,,,,,,,,No data,827,Not available,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,EUR,Europe,Country,BLR,Belarus,Year,2019,true,Education Level,None,NHLM,,,,,,,EQ_MICS,MICS,,,,,,,,No data,827,Not available,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,EUR,Europe,Country,BLR,Belarus,Year,2019,true,Education Level,Primary,PRLM,,,,,,,EQ_MICS,MICS,,,,,,,,No data,827,Not available,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,EUR,Europe,Country,BLR,Belarus,Year,2019,true,Education Level,Secondary or higher,SHLM,,,,,,,EQ_MICS,MICS,,,,,,,,No data,827,Not available,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,AMR,Americas,Country,CUB,Cuba,Year,2019,true,Education Level,None,NHLM,,,,,,,EQ_MICS,MICS,,,,,,,,No data,827,Not available,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,AMR,Americas,Country,CUB,Cuba,Year,2019,true,Education Level,Primary,PRLM,,,,,,,EQ_MICS,MICS,,,,,,,,No data,827,Not available,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,AMR,Americas,Country,CUB,Cuba,Year,2019,true,Education Level,Secondary or higher,SHLM,,,,,,,EQ_MICS,MICS,,,,,,,,No data,827,Not available,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,AMR,Americas,Country,GUY,Guyana,Year,2019,true,Education Level,None,NHLM,,,,,,,EQ_MICS,MICS,,,,,,,,No data,827,Not reported - Estimate is based on fewer than 125 cases,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,AMR,Americas,Country,GUY,Guyana,Year,2019,true,Education Level,Primary,PRLM,,,,,,,EQ_MICS,MICS,,,,,,,,No data,827,Not reported - Estimate is based on fewer than 125 cases,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,AMR,Americas,Country,PER,Peru,Year,2019,false,Education Level,None,NHLM,,,,,,,EQ_DHS,DHS,,,,,,,,No data,827,Not reported - Estimate is based on fewer than 125 cases,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,WPR,Western Pacific,Country,WSM,Samoa,Year,2019,true,Education Level,None,NHLM,,,,,,,EQ_MICS,MICS,,,,,,,,No data,827,Not reported - Estimate is based on fewer than 125 cases,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,WPR,Western Pacific,Country,WSM,Samoa,Year,2019,true,Education Level,Primary,PRLM,,,,,,,EQ_MICS,MICS,,,,,,,,No data,827,Not reported - Estimate is based on fewer than 125 cases,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,AFR,Africa,Country,STP,Sao Tome and Principe,Year,2019,true,Education Level,None,NHLM,,,,,,,EQ_MICS,MICS,,,,,,,,No data,827,Not reported - Estimate is based on fewer than 125 cases,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,EUR,Europe,Country,SRB,Serbia,Year,2019,true,Education Level,None,NHLM,,,,,,,EQ_MICS,MICS,,,,,,,,No data,827,Not available,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,EUR,Europe,Country,SRB,Serbia,Year,2019,true,Education Level,Primary,PRLM,,,,,,,EQ_MICS,MICS,,,,,,,,No data,827,Not available,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,EUR,Europe,Country,SRB,Serbia,Year,2019,true,Education Level,Secondary or higher,SHLM,,,,,,,EQ_MICS,MICS,,,,,,,,No data,827,Not available,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,SEAR,South-East Asia,Country,THA,Thailand,Year,2019,true,Education Level,None,NHLM,,,,,,,EQ_MICS,MICS,,,,,,,,No data,827,Not available,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,SEAR,South-East Asia,Country,THA,Thailand,Year,2019,true,Education Level,Primary,PRLM,,,,,,,EQ_MICS,MICS,,,,,,,,No data,827,Not available,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,SEAR,South-East Asia,Country,THA,Thailand,Year,2019,true,Education Level,Secondary or higher,SHLM,,,,,,,EQ_MICS,MICS,,,,,,,,No data,827,Not available,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,WPR,Western Pacific,Country,TON,Tonga,Year,2019,true,Education Level,None,NHLM,,,,,,,EQ_MICS,MICS,,,,,,,,No data,827,Not reported - Estimate is based on fewer than 125 cases,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,WPR,Western Pacific,Country,TON,Tonga,Year,2019,true,Education Level,Primary,PRLM,,,,,,,EQ_MICS,MICS,,,,,,,,No data,827,Not reported - Estimate is based on fewer than 125 cases,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,EUR,Europe,Country,TKM,Turkmenistan,Year,2019,true,Education Level,None,NHLM,,,,,,,EQ_MICS,MICS,,,,,,,,No data,827,Not reported - Estimate is based on fewer than 125 cases,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,EUR,Europe,Country,TKM,Turkmenistan,Year,2019,true,Education Level,Primary,PRLM,,,,,,,EQ_MICS,MICS,,,,,,,,No data,827,Not reported - Estimate is based on fewer than 125 cases,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,WPR,Western Pacific,Country,TUV,Tuvalu,Year,2019,true,Education Level,None,NHLM,,,,,,,EQ_MICS,MICS,,,,,,,,No data,827,Not reported - Estimate is based on fewer than 125 cases,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,WPR,Western Pacific,Country,TUV,Tuvalu,Year,2019,true,Education Level,Primary,PRLM,,,,,,,EQ_MICS,MICS,,,,,,,,No data,827,Not reported - Estimate is based on fewer than 125 cases,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,AFR,Africa,Country,ZWE,Zimbabwe,Year,2019,true,Education Level,None,NHLM,,,,,,,EQ_MICS,MICS,,,,,,,,No data,827,Not reported - Estimate is based on fewer than 125 cases,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,AFR,Africa,Country,DZA,Algeria,Year,2018,true,Education Level,Secondary or higher,SHLM,,,,,,,EQ_MICS,MICS,,10.81,,,8.82,,13.24,10.81 [8.82 – 13.24],,,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,AFR,Africa,Country,MLI,Mali,Year,2018,true,Education Level,Secondary or higher,SHLM,,,,,,,EQ_DHS,DHS,,106.3,,,93.66,,120.5,106.3 [93.66 – 120.5],,,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,AFR,Africa,Country,GNB,Guinea-Bissau,Year,2018,true,Education Level,Primary,PRLM,,,,,,,EQ_MICS,MICS,,107.5,,,97.02,,119,107.5 [97.02 – 119],,,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,EMR,Eastern Mediterranean,Country,IRQ,Iraq,Year,2018,true,Education Level,Primary,PRLM,,,,,,,EQ_MICS,MICS,,120.4,,,108.3,,133.7,120.4 [108.3 – 133.7],,,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,AFR,Africa,Country,CAF,Central African Republic,Year,2018,true,Education Level,Secondary or higher,SHLM,,,,,,,EQ_MICS,MICS,,126.2,,,113.4,,140.2,126.2 [113.4 – 140.2],,,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,AFR,Africa,Country,SEN,Senegal,Year,2018,false,Education Level,None,NHLM,,,,,,,EQ_DHS,DHS,,133.6,,,118.2,,150.7,133.6 [118.2 – 150.7],,,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,AFR,Africa,Country,GMB,Gambia,Year,2018,false,Education Level,Primary,PRLM,,,,,,,EQ_MICS,MICS,,134.1,,,117.1,,153.1,134.1 [117.1 – 153.1],,,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,EMR,Eastern Mediterranean,Country,IRQ,Iraq,Year,2018,true,Education Level,None,NHLM,,,,,,,EQ_MICS,MICS,,136.5,,,115.4,,160.8,136.5 [115.4 – 160.8],,,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,AFR,Africa,Country,LSO,Lesotho,Year,2018,true,Education Level,Primary,PRLM,,,,,,,EQ_MICS,MICS,,153.2,,,128.9,,181.2,153.2 [128.9 – 181.2],,,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,AFR,Africa,Country,GIN,Guinea,Year,2018,true,Education Level,Primary,PRLM,,,,,,,EQ_DHS,DHS,,158.5,,,140.7,,178.1,158.5 [140.7 – 178.1],,,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,AFR,Africa,Country,GMB,Gambia,Year,2018,false,Education Level,None,NHLM,,,,,,,EQ_MICS,MICS,,159.6,,,145.5,,174.8,159.6 [145.5 – 174.8],,,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,AFR,Africa,Country,GIN,Guinea,Year,2018,true,Education Level,None,NHLM,,,,,,,EQ_DHS,DHS,,165,,,152.9,,177.8,165 [152.9 – 177.8],,,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,AFR,Africa,Country,GNB,Guinea-Bissau,Year,2018,true,Education Level,None,NHLM,,,,,,,EQ_MICS,MICS,,169.4,,,149.7,,191.2,169.4 [149.7 – 191.2],,,EN,2022-05-25T23:00:00.000Z
